Player;Position;Age;Transfer Value;Division;Based In;Interceptions per 90;Possession Won per 90;Shots on Target Percentage;Key Tackles per 90;Conv %;Save Percentage;xGP/90;Open Play Key Passes per 90;Chances Created per 90;Pass Completion Percentage;Possession Lost per 90;xGP;Clearances per 90;Pres A/90;Pres C/90;Tackles Completed per 90;Shots From Outside The Box Per 90 minutes;Shots on Target per 90;Expected Save Percentage;Passes Attempted per 90;Progressive Passes per 90;Sprints/90;Key Passes per 90;Dribbles per 90;Tackled Completed;Open Play Crosses Completed per 90;Shot/90;Shts Blckd/90;Blk/90;Goals per 90 minutes;Dist/90;NP-xG/90;Headers Attempted per 90;xA/90;Open Play Crosses Attempted per 90;Headers Won per 90;Asts/90;Crosses Attempted per 90;Crosses Completed Ratio;Key Headers per 90;Headers Won Percentage;xG-OP;Tackles Attempted;xG/90;Goals Conceded;Minutes
Youba Diarra;DM, M (C);28;€130K - €1.3M;Premier Division;Austria;0.1;8.4;42%;0.0;17%;0;0.0;0.1;0.4;81%;16.9;0;0.0;0.1;0.1;0.0;0.3;0.3;0;1.2;0.1;0.3;0.2;0.0;0;0.0;0.7;0.0;0.1;0.1;0.3;0.0;0.1;0.1;0.0;0.0;0.1;0.0;0;0.0;0;1.34;0;0.0;0;1570
Simon Handle;D/WB/M (L), AM (RL);33;€0 - €7K;3. Liga;Germany;2.2;8.0;64%;0.3;11%;0;0.0;1.8;0.4;85%;13.9;0;1.1;11.7;2.9;2.5;1.1;0.9;0;50.4;4.4;22.1;1.9;3.1;52;0.9;1.3;0.0;0.2;0.1;13.1;0.1;4.5;0.2;5.0;1.5;0.2;5.4;18;0.1;33;1.75;57;0.1;0;1867
Andreas Leitner;GK;32;Not for Sale;Premier Division;Austria;0.0;3.8;0%;0.0;0%;67;-0.3;0.0;0.0;74%;10.1;-8.86;3.0;0.0;0.0;0.0;0.0;0.0;88;25.4;0.0;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;5.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;5;0.0;47;2700
Martin Rasner;WB (R), DM, M (RC);30;€400K;Premier Division;Austria;2.1;11.7;0%;0.3;0%;0;0.0;1.8;0.2;88%;16.7;0;1.4;10.2;2.4;2.2;0.0;0.0;0;44.6;4.4;24.1;1.8;2.0;25;0.8;0.2;0.0;0.5;0.0;12.8;0.0;3.6;0.1;7.1;1.8;0.0;7.1;11;0.2;50;-0.25;33;0.0;0;1005
Jürgen Heil;D (R), M/AM (C);29;€16K - €150K;Premier Division;Austria;0.0;7.9;43%;0.0;10%;0;0.0;0.0;0.3;0%;14.1;0;0.0;0.0;0.0;0.0;0.3;0.4;0;0.0;0.0;0.0;0.0;0.0;0;0.0;1.0;0.0;0.0;0.1;0.0;0.1;0.0;0.2;0.0;0.0;0.0;0.0;0;0.0;0;-0.86;0;0.1;0;1910
Christopher Cvetko;M/AM (C);29;€160K;Premier Division;Austria;0.5;9.7;32%;0.0;7%;0;0.0;0.1;0.2;84%;12.1;0;0.1;0.8;0.2;0.1;0.5;0.5;0;7.1;0.7;1.9;1.0;0.0;2;0.0;1.7;0.0;0.1;0.1;1.6;0.2;0.2;0.1;0.1;0.2;0.0;0.1;0;0.1;75;-0.52;3;0.2;0;1490
Mirko Kos;GK;29;€1.5K - €16K;Premier Division;Austria;0.0;3.7;0%;0.0;0%;68;-0.0;0.0;0.0;75%;7.5;-0.29;2.7;0.0;0.0;0.0;0.0;0.0;87;23.6;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;5.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;1;0.0;12;1128
Marko Raguž;AM (C), ST (C);27;€9K;Premier Division;Austria;0.7;4.9;38%;0.0;10%;0;0.0;1.3;0.3;89%;15.9;0;0.2;2.8;0.7;0.4;0.7;1.2;0;33.1;1.3;8.9;1.3;0.6;5;0.1;3.1;0.0;0.1;0.3;11.0;0.4;6.8;0.1;0.5;2.1;0.2;0.5;14;0.0;31;-1.03;7;0.4;0;1146
Felix Strauss;D (LC), DM;25;€70K - €700K;3. Liga;Germany;3.2;10.7;38%;0.0;25%;0;0.0;0.5;0.1;90%;7.5;0;1.0;5.1;1.1;0.9;0.1;0.2;0;58.6;3.7;9.4;0.5;0.4;13;0.1;0.6;0.2;0.6;0.1;11.6;0.1;4.6;0.0;0.4;3.3;0.0;0.4;33;0.6;71;1.13;21;0.1;0;1283
Luca Kronberger;M (R), AM (RLC);24;€475K;Premier Division;Austria;2.1;2.8;39%;0.0;14%;0;0.0;1.6;0.0;89%;18.6;0;0.6;8.6;2.1;1.1;0.3;0.5;0;44.4;3.2;13.4;2.2;3.5;25;0.4;1.2;0.0;0.5;0.2;11.3;0.1;4.8;0.0;2.7;2.1;0.0;2.7;14;0.2;43;1.03;33;0.1;0;2139
