Player;Position;Age;Style;Division;Based In;Open Play Key Passes per 90;Headers Won Percentage;Conv %;Possession Won per 90;Shots on Target Percentage;Expected Save Percentage;xGP/90;Progressive Passes per 90;Passes Attempted per 90;Possession Lost per 90;Key Passes per 90;Tackles Attempted;Chances Created per 90;Asts/90;Clearances per 90;xG-OP;Tackle Completion Percentage;Tackled Completed;Blk/90;Interceptions per 90;Pres A/90;Pres C/90;Shts Blckd/90;Tackles Completed per 90;Shot/90;Shots on Target per 90;Shots From Outside The Box Per 90 minutes;Save Percentage;xGP;Passes Completed per 90;Goals per 90 minutes;NP-xG/90;xG/90;xA/90;Sprints/90;Dribbles per 90;Dist/90;Headers Won per 90;Headers Attempted per 90;Open Play Crosses Completed per 90;Open Play Crosses Attempted per 90;Crosses Completed per 90;Crosses Attempted per 90;Crosses Completed Ratio;Key Headers per 90;Key Tackles per 90;Pass Completion Percentage;Goals Conceded;Minutes
Thomas Dähne;GK;32;Distributor;3. Liga;Germany;0.0;0;0%;8.9;0%;85;-0.3;0.5;27.1;2.9;0.0;1;0.0;0.0;0.6;0;0;0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;-13.88;24.5;0.0;0.0;0.0;0.0;0.0;0.0;6.8;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;90%;55;3780
Raphael Schifferl;D (C);26;Physical;3. Liga;Germany;0.3;77;16%;12.7;37%;0;0.0;8.2;69.0;7.0;0.3;34;0.1;0.1;1.1;1.48;71;24;0.5;3.8;2.1;0.6;0.4;0.7;0.5;0.2;0.1;0;0;62.7;0.1;0.0;0.0;0.0;9.9;0.1;11.0;5.3;6.8;0.0;0.1;0.0;0.1;25;1.1;0.1;91%;0;3233
Mathis Bruns;D (C);22;Physical;3. Liga;Germany;0.3;66;17%;10.9;50%;0;0.0;3.3;46.7;6.0;0.3;13;0.0;0.0;1.0;0.25;77;10;0.4;4.3;2.7;1.0;0.4;0.5;0.3;0.2;0.2;0;0;40.9;0.1;0.0;0.0;0.0;2.8;0.0;10.0;3.3;5.1;0.0;0.0;0.0;0.0;0;0.3;0.2;88%;0;1645
Philipp Maier;D (C), DM, M (C);31;Leader;3. Liga;Germany;0.4;77;11%;11.3;61%;0;0.0;6.2;66.0;6.5;0.4;19;0.1;0.1;0.6;0.32;79;15;0.5;3.9;3.4;1.3;0.5;0.8;1.0;0.6;0.2;0;0;59.6;0.1;0.1;0.1;0.1;13.0;0.1;11.6;4.8;6.3;0.1;0.2;0.1;0.2;33;0.1;0.3;90%;0;1691
Marvin Rittmüller;D/WB (R);27;Physical;3. Liga;Germany;3.1;30;9%;10.2;41%;0;0.0;8.8;52.6;19.3;3.8;114;1.0;0.4;1.0;0.88;79;90;0.4;3.4;12.2;3.7;0.2;2.4;1.4;0.6;0.8;0;0;43.5;0.1;0.1;0.1;0.4;32.0;4.5;14.2;1.2;3.8;2.5;9.8;3.1;13.9;22;0.1;0.0;83%;0;3404
Thore Jacobsen;D (L), DM, M (C);29;Leader;3. Liga;Germany;1.5;46;16%;8.6;42%;0;0.0;10.1;70.5;9.7;1.5;79;0.1;0.1;0.6;-0.08;73;58;0.4;3.0;8.1;2.5;0.2;1.5;1.3;0.6;0.9;0;0;62.1;0.2;0.1;0.2;0.1;20.7;0.8;13.0;0.9;2.1;0.1;0.2;0.1;0.4;23;0.1;0.0;88%;0;3415
Manuel Pfeifer;D/WB/M (L);26;Physical;3. Liga;Germany;1.7;62;10%;12.0;51%;0;0.0;7.7;53.0;17.7;1.8;106;0.8;0.3;0.7;2.12;88;93;0.6;3.9;10.3;3.1;0.1;2.9;2.1;1.1;0.9;0;0;43.3;0.2;0.1;0.1;0.2;30.3;3.5;13.8;3.0;4.9;1.6;7.5;1.6;7.5;20;0.2;0.2;82%;0;2929
Max Christiansen;DM, M (C);29;Leader;3. Liga;Germany;2.0;49;13%;6.9;47%;0;0.0;4.4;44.6;8.5;2.0;59;0.4;0.2;0.8;1.64;75;44;0.7;3.0;9.0;2.2;0.5;1.4;2.0;0.9;1.2;0;0;38.7;0.3;0.2;0.2;0.2;27.1;1.4;13.2;1.6;3.3;0.8;3.5;0.8;3.5;22;0.3;0.0;87%;0;2814
Kevin Volland;M (C), AM (RLC), ST (C);33;Leader;3. Liga;Germany;1.9;39;11%;4.9;41%;0;0.0;5.8;43.5;10.3;2.9;58;0.7;0.3;0.2;0.23;62;36;0.1;1.3;6.4;1.6;0.1;0.9;2.6;1.0;1.5;0;0;37.5;0.3;0.2;0.3;0.2;15.1;1.2;12.6;1.1;2.9;0.6;2.2;1.5;7.3;20;0.0;0.0;86%;0;3693
Justin Steinkötter;ST (C);26;Physical;3. Liga;Germany;1.7;40;19%;3.8;42%;0;0.0;2.6;36.9;7.5;1.7;6;0.7;0.3;0.3;1.88;83;5;0.0;0.9;3.2;1.3;0.0;0.7;3.4;1.5;1.7;0;0;32.8;0.7;0.4;0.4;0.3;16.5;0.9;13.0;3.2;7.9;0.5;1.6;0.5;1.6;33;0.3;0.0;89%;0;681
Sebastian Müller;AM (R), ST (C);25;Physical;3. Liga;Germany;1.4;25;19%;3.2;40%;0;0.0;1.3;23.8;4.8;1.4;4;0.3;0.1;0.2;2.53;100;4;0.1;0.7;2.3;0.6;0.1;0.3;3.3;1.3;1.9;0;0;21.1;0.6;0.5;0.5;0.1;7.6;0.8;11.3;1.2;4.7;0.1;1.3;0.1;1.3;9;0.0;0.0;89%;0;1431
Paul Bachmann;GK;20;Assertive;3. Liga;Germany;0.0;0;0%;8.3;0%;87;0.1;0.7;22.0;4.0;0.0;0;0.0;0.0;0.3;0;0;0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60;0.29;19.0;0.0;0.0;0.0;0.0;0.0;0.0;6.3;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;86%;2;270
Moritz Frahm;D (C), DM;25;Technical;3. Liga;Germany;1.0;100;0%;14.0;0%;0;0.0;8.0;71.0;10.0;1.0;2;0.0;0.0;0.0;0;100;2;1.0;2.0;4.0;2.0;0.0;2.0;0.0;0.0;0.0;0;0;62.0;0.0;0.0;0.0;0.0;4.0;0.0;11.3;6.0;6.0;0.0;0.0;0.0;0.0;0;0.0;0.0;87%;0;90
Max Reinthaler;D (C);31;Leader;3. Liga;Germany;0.5;74;0%;12.7;100%;0;0.0;6.4;63.7;6.7;0.5;8;0.3;0.0;1.0;-0.17;88;7;0.3;5.3;3.0;1.1;0.2;0.5;0.2;0.2;0.0;0;0;57.4;0.0;0.0;0.0;0.1;7.5;0.2;11.0;5.4;7.4;0.2;0.2;0.2;0.2;100;1.1;0.2;90%;0;1158
Tim Danhof;D/WB/M/AM (R);29;Intelligent;3. Liga;Germany;2.6;50;14%;14.0;71%;0;0.0;9.4;57.4;23.8;2.6;19;0.4;0.0;1.8;0.63;63;12;0.4;5.1;11.0;2.2;0.0;2.4;1.4;1.0;1.0;0;0;46.2;0.2;0.1;0.1;0.2;31.8;2.0;16.6;2.6;5.3;1.6;10.4;1.6;11.8;13;0.0;0.0;80%;0;442
Clemens Lippmann;D (RLC), WB (RL), DM, ST (C);19;Physical;3. Liga;Germany;1.3;50;14%;14.3;29%;0;0.0;8.5;67.2;18.8;1.3;8;0.0;0.3;0.3;0.49;100;8;0.3;4.8;11.4;3.2;0.3;2.1;1.9;0.5;1.1;0;0;52.8;0.3;0.1;0.1;0.1;35.6;1.6;17.1;3.5;6.9;1.1;6.6;1.1;6.6;16;0.5;0.0;79%;0;339
Jakob Schurz;D (LC);18;Physical;3. Liga;Germany;1.4;81;0%;10.2;0%;0;0.0;6.5;46.9;7.1;1.4;1;0.0;0.0;0.7;-0.02;100;1;0.0;2.7;1.4;0.7;0.0;0.3;0.3;0.0;0.3;0;0;40.4;0.0;0.0;0.0;0.1;4.4;0.0;10.2;4.4;5.4;0.0;0.3;0.0;0.3;0;0.3;0.0;86%;0;265
Tunay Deniz;DM, M (C), AM (LC);32;Intelligent;3. Liga;Germany;1.8;37;15%;7.4;63%;0;0.0;6.6;57.6;9.2;2.0;23;0.5;0.1;0.2;1.67;78;18;0.5;2.7;7.8;2.7;0.4;1.1;1.6;1.0;1.1;0;0;50.3;0.2;0.1;0.1;0.1;24.6;0.8;13.5;0.8;2.2;0.4;2.0;0.7;3.9;16;0.2;0.0;87%;0;1521
Morris Schröter;D/WB/M/AM (R);30;Leader;3. Liga;Germany;0.0;0;0%;0.0;0%;0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;0.0;0;100;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100;0.0;0.0;95%;0;26
Florian Niederlechner;AM (C), ST (C);35;Leader;3. Liga;Germany;1.6;28;10%;3.4;25%;0;0.0;1.8;29.7;5.4;1.6;11;0.4;0.2;0.1;-1.99;64;7;0.1;1.5;3.0;0.8;0.0;0.4;2.6;0.7;1.1;0;0;26.1;0.3;0.4;0.4;0.2;13.2;0.5;12.2;1.5;5.2;0.2;1.1;0.2;1.1;15;0.1;0.0;88%;0;1657
