Player;Position;Age;Style;Open Play Key Passes per 90;Headers Won Percentage;Conv %;Possession Won per 90;Shots on Target Percentage;Expected Save Percentage;xGP/90;Progressive Passes per 90;Passes Attempted per 90;Possession Lost per 90;Key Passes per 90;Tackles Attempted;Chances Created per 90;Asts/90;Clearances per 90;xG-OP;Tackle Completion Percentage;Tackled Completed;Blk/90;Interceptions per 90;Pres A/90;Pres C/90;Shts Blckd/90;Tackles Completed per 90;Shot/90;Shots on Target per 90;Shots From Outside The Box Per 90 minutes;Save Percentage;xGP;Passes Completed per 90;Goals per 90 minutes;NP-xG/90;xG/90;xA/90;Sprints/90;Dribbles per 90;Dist/90;Headers Won per 90;Headers Attempted per 90;Open Play Crosses Completed per 90;Open Play Crosses Attempted per 90;Crosses Completed per 90;Crosses Attempted per 90;Crosses Completed Ratio;Key Headers per 90;Key Tackles per 90;Pass Completion Percentage;Goals Conceded;Minutes
Thomas Dähne;GK;31;Distributor;0,0;0;0%;8,6;0%;84;-0,2;0,6;25,1;3,0;0,0;1;0,0;0,0;0,4;0;0;0;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;75;-3.74;22,4;0,0;0,0;0,0;0,0;0,0;0,0;6,7;0,0;0,0;0,0;0,0;0,0;0,0;0;0,0;0,0;89%;22;1800
Raphael Schifferl;D (C);26;Physical;0,4;78;15%;12,6;46%;0;0,0;9,3;68,3;6,9;0,4;27;0,1;0,1;1,1;0.86;70;19;0,3;3,8;2,3;0,5;0,2;0,9;0,6;0,3;0,1;0;0;61,9;0,1;0,1;0,1;0,1;10,3;0,1;10,8;5,2;6,7;0,0;0,1;0,0;0,1;33;1,1;0,0;91%;0;1964
Jesper Verlaat;D (C);29;Physical;0,2;72;0%;11,8;7%;0;0,0;3,1;51,8;3,8;0,2;18;0,0;0,1;0,8;-0.87;50;9;0,5;4,4;1,9;0,4;0,4;0,4;0,7;0,0;0,0;0;0;48,7;0,0;0,0;0,0;0,0;4,9;0,1;9,9;5,3;7,3;0,0;0,1;0,0;0,1;33;0,5;0,0;94%;0;2070
Sean Dulic;D (RLC), WB (RL);20;Physical;0,3;82;0%;10,7;0%;0;0,0;9,1;62,6;5,7;0,3;16;0,0;0,0;1,2;-0.03;81;13;0,6;3,6;1,4;0,4;0,4;0,6;0,1;0,0;0,0;0;0;57,6;0,0;0,0;0,0;0,0;8,6;0,0;10,7;2,5;3,0;0,1;0,3;0,1;0,3;28;0,4;0,1;92%;0;1830
Marvin Rittmüller;D/WB (R);26;Physical;3,2;28;14%;9,6;44%;0;0,0;8,3;45,1;18,6;3,9;61;1,0;0,3;0,9;1.71;75;46;0,3;3,2;11,0;3,1;0,2;2,4;1,9;0,8;0,8;0;0;36,5;0,3;0,2;0,2;0,4;32,5;5,6;14,0;1,0;3,6;2,6;10,1;3,1;14,0;22;0,1;0,1;81%;0;1721
Thore Jacobsen;D (L), DM, M (C);28;Leader;1,6;48;21%;8,3;46%;0;0,0;10,4;68,3;9,3;1,6;49;0,2;0,0;0,7;0.57;65;32;0,1;3,0;7,6;2,5;0,0;1,6;1,2;0,6;0,9;0;0;60,3;0,3;0,1;0,2;0,1;20,8;0,7;12,8;0,8;1,6;0,1;0,3;0,1;0,4;28;0,0;0,0;88%;0;1760
Manuel Pfeifer;D/WB/M (L);26;Physical;2,1;53;7%;11,2;49%;0;0,0;6,6;46,5;16,8;2,3;51;0,7;0,4;0,6;-0.22;88;45;0,4;3,6;8,9;2,5;0,1;3,2;3,1;1,5;1,4;0;0;37,6;0,2;0,2;0,2;0,3;30,0;4,2;13,5;3,0;5,7;2,1;6,9;2,1;6,9;31;0,4;0,1;81%;0;1256
Philipp Maier;D (C), DM, M (C);31;Leader;0,8;68;14%;7,8;57%;0;0,0;7,4;60,5;7,4;0,8;10;0,4;0,2;1,3;0.41;70;7;0,4;2,3;6,1;1,7;0,4;1,5;1,5;0,8;0,4;0;0;52,7;0,2;0,1;0,1;0,2;24,2;0,0;12,8;3,2;4,6;0,2;0,4;0,2;0,4;50;0,0;0,2;87%;0;427
Kevin Volland;M (C), AM (RLC), ST (C);33;Leader;2,0;48;15%;4,7;44%;0;0,0;5,2;41,9;9,1;3,0;21;0,8;0,4;0,2;1.29;81;17;0,2;1,1;6,1;1,8;0,1;0,8;2,8;1,3;1,6;0;0;36,0;0,4;0,3;0,4;0,3;14,4;1,3;12,4;1,4;3,0;0,6;2,3;1,4;6,7;21;0,0;0,0;86%;0;1938
Sigurd Haugen;AM (L), ST (C);28;Physical;1,1;54;25%;3,8;54%;0;0,0;2,4;33,7;6,8;1,1;14;0,4;0,3;0,3;4.41;86;12;0,0;1,4;3,2;0,7;0,0;0,6;2,8;1,5;0,4;0;0;29,6;0,7;0,5;0,5;0,1;18,0;0,4;11,9;4,0;7,3;0,2;1,3;0,2;1,3;19;0,1;0,0;88%;0;1812
